Eğitim durumunuz nedir?,Öğretim durumu ?,Özel Durumu ?,Kaç kardeşiniz var? (Yoksa 0 girin.),Burs alan kardeşiniz oldu mu ?,Ailevi durum ?,Kira Durumunuz,Eviniz Var mı? kaç tane,Arabanız Var mı? kaç tane,Başvuru Yılı,Başvurduğunuz yıl size Devlet bursu mu yoksa Kredimi çıktı?,Anne Mesleği,Baba Mesleği,Aylık Ev Geliri,Toplam Aile Üyesi Sayısı,Şehir Durumu,Özel_Durumu_Kodlanmış
0,1,0,1,0,3,0,0,0,2021,0,1,0,4237.5,4,0,1
0,1,1,1,0,1,1,1,1,2020,0,2,7,3662.0,4,0,0
0,1,1,2,0,1,0,1,1,2022,0,2,3,14886.0,5,0,0
0,1,1,2,1,1,1,1,0,2022,0,3,3,14886.0,5,0,0
0,1,1,1,0,1,1,2,1,2022,1,4,7,19139.0,4,1,0
0,1,1,4,0,1,1,1,1,2023,0,2,3,28501.0,7,0,0
0,1,1,1,0,0,1,1,1,2020,0,2,1,11621.0,4,0,0
0,1,1,3,0,1,1,1,0,2023,0,3,7,19750.0,6,0,0
0,1,1,1,1,1,1,0,1,2023,1,2,3,10750.0,4,1,0
0,1,1,1,0,1,0,1,1,2022,1,2,8,21266.0,4,0,0
0,1,1,1,0,1,1,1,1,2020,0,2,3,3662.0,4,0,0
0,1,1,1,0,1,0,0,1,2022,1,5,5,21266.0,4,0,0
0,1,1,1,0,1,1,1,1,2022,1,6,6,21266.0,4,0,0
2,1,1,1,1,1,1,3,1,2024,1,1,1,14003.0,4,0,0
0,1,1,1,0,1,1,3,1,2023,1,7,1,28501.0,4,0,0
0,1,1,2,0,1,1,1,1,2023,1,2,7,28501.0,5,0,0
0,2,1,1,0,1,1,1,1,2022,1,2,1,14886.0,4,0,0
0,1,1,4,0,1,1,0,0,2022,0,2,3,21266.0,7,0,0
0,1,1,3,0,1,1,1,2,2020,0,8,8,11621.0,6,0,0
0,1,1,2,0,1,1,1,0,2021,0,2,1,4237.5,5,0,0
0,1,1,1,1,1,1,1,2,2023,0,2,9,10750.0,4,0,0
0,1,1,4,0,0,0,1,1,2021,1,2,7,7063.0,7,0,0
0,1,1,1,0,0,0,0,0,2021,0,3,6,15125.0,4,0,0
0,2,1,1,0,1,1,1,1,2021,0,3,7,7063.0,4,0,0
0,1,1,2,0,1,1,3,2,2021,0,2,1,4237.5,5,0,0
0,2,1,3,0,1,1,2,1,2022,1,9,9,21266.0,6,0,0
0,1,1,4,0,0,1,1,1,2020,1,2,7,11621.0,7,1,0
0,1,1,2,0,0,0,2,1,2023,0,8,1,19750.0,5,0,0
0,1,1,5,0,1,1,1,1,2023,0,2,1,28501.0,8,0,0
0,1,1,2,0,1,1,1,1,2022,1,2,1,14886.0,5,0,0
0,1,1,1,0,1,1,2,1,2021,1,2,12,9888.0,4,0,0
0,1,1,1,0,1,1,1,1,2021,1,3,3,9888.0,4,0,0
0,1,1,2,0,1,1,1,1,2021,0,2,8,15125.0,5,0,0
0,1,1,1,0,1,1,1,0,2021,1,8,6,15125.0,4,0,0
0,1,1,1,1,1,1,2,1,2021,0,2,9,9888.0,4,0,0
0,1,1,1,0,1,1,2,1,2023,1,10,1,28501.0,4,0,0
0,1,1,4,0,1,0,5,0,2023,1,2,2,19750.0,7,0,0
0,1,1,1,0,1,1,1,1,2023,1,2,1,25250.0,4,0,0
0,1,1,0,0,1,0,1,1,2022,1,2,1,10633.0,3,0,0
0,1,0,0,0,2,1,1,0,2022,1,2,0,14886.0,3,0,1
0,1,1,1,0,1,1,2,2,2023,1,1,1,28501.0,4,0,0
0,1,0,0,0,2,1,1,1,2023,0,0,1,28501.0,3,0,1
0,1,1,1,0,1,1,1,0,2023,0,2,7,10750.0,4,0,0
2,2,1,1,1,1,1,0,0,2020,1,2,1,3662.0,4,1,0
0,1,1,1,0,1,1,1,1,2023,1,4,12,28501.0,4,0,0
0,1,1,2,0,1,0,0,1,2023,1,2,3,28501.0,5,0,0
0,1,1,5,1,1,1,1,1,2023,1,3,1,19750.0,8,0,0
0,1,1,2,1,1,1,1,1,2023,0,6,7,28501.0,5,0,0
0,1,1,0,0,1,1,1,1,2023,1,1,1,19750.0,3,0,0
0,2,1,4,0,1,1,2,1,2023,1,3,3,10750.0,7,0,0
2,1,1,1,0,1,1,1,1,2024,1,10,10,21509.5,4,0,0
0,1,1,1,0,1,1,0,2,2022,0,2,7,10633.0,4,0,0
0,1,1,3,0,1,1,1,1,2024,1,2,9,21509.5,6,1,0
0,1,1,2,0,1,1,2,1,2023,1,4,1,28501.0,5,0,0
0,2,1,3,1,1,1,2,2,2021,1,6,6,15125.0,6,0,0
0,1,1,3,0,1,1,2,1,2020,1,2,3,3662.0,6,0,0
0,1,1,0,0,0,1,0,1,2021,0,1,13,15125.0,3,0,0
2,1,1,1,0,1,1,1,1,2024,1,7,7,14003.0,4,0,0
0,1,1,1,0,1,1,4,2,2021,1,11,8,15125.0,4,0,0
0,1,1,2,0,1,0,0,1,2022,0,2,3,10633.0,5,0,0
0,2,1,2,0,1,1,1,1,2022,1,1,1,10633.0,5,0,0
0,1,1,0,0,1,1,1,1,2023,1,2,7,10750.0,3,1,0
2,1,1,1,0,1,1,2,2,2023,1,2,6,15250.0,4,0,0
2,1,1,1,0,1,0,0,1,2024,1,2,7,29271.5,4,1,0
0,1,1,2,0,3,0,0,0,2020,0,8,8,3662.0,5,0,0
0,1,1,2,0,1,1,2,1,2022,1,2,3,21266.0,5,0,0
0,1,1,2,0,0,0,1,0,2021,0,7,7,9888.0,5,0,0
0,2,1,2,0,1,1,2,1,2022,1,2,3,6379.5,5,0,0
0,1,1,1,0,1,1,1,2,2022,1,2,1,10633.0,4,1,0
0,1,1,3,0,1,1,1,0,2020,1,2,8,3662.0,6,0,0
2,1,1,1,1,1,1,1,1,2020,1,3,7,11621.0,4,1,0
0,1,1,1,0,1,1,2,1,2023,1,2,1,28501.0,4,0,0
0,2,1,3,0,1,1,1,1,2022,0,3,3,14886.0,6,1,0
2,1,1,1,0,1,1,1,1,2021,0,2,1,4237.5,4,1,0
0,1,1,2,0,1,1,2,0,2023,1,3,6,25250.0,5,1,0
0,1,1,1,0,1,1,3,1,2022,0,1,1,21266.0,4,1,0
0,1,1,3,0,1,1,1,2,2024,1,7,1,21509.5,6,1,0
0,2,1,5,1,1,1,1,1,2022,0,2,1,14886.0,8,1,0
0,1,1,1,0,1,0,1,2,2020,1,3,6,8634.5,4,0,0
0,1,1,0,0,1,0,1,1,2020,1,2,1,3662.0,3,0,0
0,1,1,1,0,1,1,3,2,2020,1,2,6,8634.5,4,0,0
0,1,1,1,0,1,0,0,2,2020,1,7,1,11621.0,4,1,0
0,1,1,1,0,1,1,1,1,2023,0,2,1,19750.0,4,0,0
1,1,1,1,0,1,1,0,0,2020,1,2,1,11621.0,4,0,0
0,2,1,1,0,1,1,4,2,2024,1,1,1,41531.0,4,0,0
0,1,1,1,0,1,0,0,1,2024,1,2,8,41531.0,4,0,0
0,1,1,2,0,1,1,1,1,2021,1,3,1,7063.0,5,0,0
0,2,1,1,1,1,1,3,2,2022,1,3,3,21266.0,4,0,0
0,2,1,2,0,1,1,1,1,2023,0,2,1,10750.0,5,0,0
0,1,1,3,0,1,1,1,1,2020,1,2,3,3662.0,6,0,0
0,2,1,2,0,1,1,2,1,2022,1,2,1,10633.0,5,0,0
0,1,1,2,1,1,0,0,1,2020,0,2,7,6486.0,5,0,0
0,1,1,4,1,1,0,0,1,2020,1,2,7,6486.0,7,0,0
0,1,1,2,0,1,0,0,0,2020,1,6,1,11621.0,5,0,0
0,2,1,3,0,1,0,0,1,2023,1,2,11,15250.0,6,0,0
0,1,1,2,1,1,1,2,1,2020,0,2,9,3662.0,5,0,0
